BOROUGH,tf_ampm,tf_hour,tf_min_block,avg_speed,CI
Brooklyn,PM,03,45,30.775719391427355,0.38448561217145294
Brooklyn,PM,10,30,37.75485390074446,0.24490292198511088
Bronx,PM,12,15,30.047592171062448,0.39904815657875103
Brooklyn,AM,08,45,32.04541688529099,0.3590916622941802
Queens,AM,01,30,43.51098702853931,0.12978025942921378
Brooklyn,PM,04,30,30.232073513806977,0.39535852972386043
Bronx,PM,06,15,27.952889013395815,0.4409422197320837
Brooklyn,AM,09,30,32.95063691895112,0.3409872616209776
Queens,PM,03,15,33.02302930941849,0.3395394138116302
Queens,PM,10,00,42.28508384330463,0.15429832313390734
Queens,AM,08,15,37.64974992123105,0.24700500157537908
Bronx,PM,07,00,30.416142781488624,0.3916771443702275
Staten Island,AM,01,15,41.412835111229825,0.17174329777540354
Queens,PM,04,00,31.74930304667027,0.36501393906659463
Queens,AM,09,00,37.90382587036917,0.24192348259261665
Staten Island,AM,02,00,41.30301463936179,0.1739397072127642
Queens,PM,12,45,37.734036271806694,0.24531927456386615
Bronx,PM,09,45,37.27526181732537,0.25449476365349255
Staten Island,AM,10,45,37.572884651613485,0.24854230696773028
Queens,PM,06,45,34.17121778006271,0.31657564439874575
Staten Island,AM,04,45,43.16480922454627,0.13670381550907462
Staten Island,AM,11,30,37.343957976245704,0.2531208404750859
Queens,PM,07,30,37.25582897988709,0.2548834204022582
Staten Island,AM,05,30,42.73796087365791,0.1452407825268418
Staten island,AM,01,45,40.47046938289253,0.19059061234214936
Staten island,AM,02,30,40.80118745511131,0.1839762508977738
Staten Island,PM,07,15,36.6404357499967,0.26719128500006606
Staten island,PM,10,15,39.468909605853206,0.21062180788293583
Staten island,AM,09,15,38.10147687250527,0.2379704625498945
Staten Island,PM,08,00,38.341494018072225,0.2331701196385555
Staten island,PM,11,00,38.78568104701889,0.22428637905962223
Staten island,PM,04,15,30.729574964969657,0.38540850070060684
Manhattan,AM,01,30,22.791390253028396,0.544172194939432
Staten island,PM,05,00,31.467861766065635,0.3706427646786873
Brooklyn,AM,01,00,39.84175889476722,0.2031648221046557
Manhattan,AM,08,15,23.362922071940673,0.5327415585611865
Manhattan,PM,03,15,20.242111271994006,0.5951577745601199
Manhattan,PM,10,00,24.381632715110996,0.5123673456977801
Manhattan,AM,09,00,22.584842409291497,0.5483031518141701
Manhattan,PM,04,00,18.600061815519553,0.6279987636896089
Staten island,PM,07,45,38.252824964805285,0.23494350070389425
Brooklyn,AM,10,30,33.24566574056926,0.33508668518861484
Bronx,AM,12,15,38.284131577818755,0.23431736844362494
Brooklyn,AM,03,45,42.099022335398374,0.15801955329203254
Staten island,PM,08,30,39.37129620963968,0.21257407580720633
Manhattan,PM,12,45,23.169645086634805,0.5366070982673039
Brooklyn,AM,04,30,42.814122565501485,0.14371754868997033
Bronx,PM,01,15,29.322288544817155,0.4135542291036569
Bronx,AM,06,15,38.228677822939744,0.23542644354120512
Brooklyn,PM,12,15,33.509522059292706,0.32980955881414586
Queens,AM,03,15,45.143647497283034,0.0971270500543393
Bronx,PM,02,00,28.370038748442397,0.4325992250311521
Bronx,AM,07,00,35.63628224795535,0.28727435504089305
Queens,AM,10,00,39.15831821825838,0.21683363563483238
Manhattan,PM,06,45,20.001286761909114,0.5999742647618177
Brooklyn,PM,06,15,31.33841060253998,0.3732317879492004
Manhattan,PM,07,30,22.45576838210205,0.550884632357959
Queens,AM,04,00,46.72523958691739,0.06549520826165223
Brooklyn,PM,07,00,33.4975718620348,0.33004856275930394
Bronx,PM,10,45,37.64175752455015,0.24716484950899698
Bronx,PM,11,30,37.66009675297701,0.24679806494045975
Queens,AM,12,45,43.58609508395716,0.1282780983208568
